County,Average Effective Property Tax Rate
Albany,0.021
Allegany,0.033
Bronx,0.01
Broome,0.028
Cattaraugus,0.031
Cayuga,0.025
Chautauqua,0.029
Chemung,0.026
Chenango,0.026
Clinton,0.021
Columbia,0.019
Cortland,0.032
Delaware,0.02
Dutchess,0.022
Erie,0.026
Essex,0.018
Franklin,0.021
Fulton,0.025
Genesee,0.029
Greene,0.017
Hamilton,0.011
Herkimer,0.026
Jefferson,0.016
Kings,0.007
Lewis,0.018
Livingston,0.028
Madison,0.025
Monroe,0.032
Montgomery,0.033
Nassau,0.022
New York,0.009
Niagara,0.03
Oneida,0.026
Onondaga,0.028
Ontario,0.024
Orange,0.026
Orleans,0.035
Oswego,0.029
Otsego,0.018
Putnam,0.026
Queens,0.009
Rensselaer,0.025
Richmond,0.009
Rockland,0.024
Saratoga,0.016
Schenectady,0.028
Schoharie,0.023
Schuyler,0.023
Seneca,0.028
St. Lawrence,0.025
Steuben,0.028
Suffolk,0.024
Sullivan,0.026
Tioga,0.026
Tompkins,0.025
Ulster,0.024
Warren,0.016
Washington,0.023
Wayne,0.029
Westchester,0.02
Wyoming,0.028
Yates,0.022
